Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
block_evaluation_kit_sso,/blocks/evaluation_kit_sso,No,Yes,,,,2019083710,,,No,,
block_helpdesk,/blocks/helpdesk,No,,https://github.com/lsuits/lsu-block_helpdesk,,2014060500,2019102900,b33064de00cd430e1bbeb983cd01d18aee9ccf94,,No,,https://github.com/lsuits/lsu-block_helpdesk
block_iseek,/blocks/iseek,No,,Private?,,,2020102811,,,No,,Private?
block_kalturamediagallery,/blocks/kalturamediagallery,No,,https://github.com/kaltura/moodle-local_kalturamediagallery,,2014013000,2024100700,25ef458360da3c179b9650a37fcb6bd1995042f3,,No,,https://github.com/kaltura/moodle-local_kalturamediagallery
block_link_logins,/blocks/link_logins,No,,,https://github.com/lsuonline/moodle-block_link_logins,2023071700,2023071700,f8a3a00d1b6cf063c13eb5100115d5722f9e2d20,95638a7eecd8289f9ca02827d1e538e72c2f136d,Yes,,https://github.com/lsuonline/moodle-block_link_logins
block_lsu_libraries_research_link,/blocks/lsu_libraries_research_link,No,Yes,,,,2016020300,,,No,,
block_lsu_people,/blocks/lsu_people,No,,,https://github.com/lsuonline/moodle-block_lsu_people,2025041501,2025041501,b7451bcfa42a0b479596d380a3b3df633b6fe10b,b7451bcfa42a0b479596d380a3b3df633b6fe10b,Yes,,https://github.com/lsuonline/moodle-block_lsu_people
block_lsuxe,/blocks/lsuxe,No,,,https://github.com/lsuonline/moodle-block_lsuxe,2022091201,2022091201,e36515244b670d08aa7c4b354c8678a1a71dccd5,24b7cc01cd6e92b2578014dabc3830d6d62a6586,Yes,,https://github.com/lsuonline/moodle-block_lsuxe
block_material_download,/blocks/material_download,No,,https://github.com/TUM-MZ/moodle-block_material-download,,2016110400,2016110400,1aca95f396c6d69a84734017c90d2540b4f7e297,58843510c7a5bbe4a383cad68e59ded9df07641b,Yes,,https://github.com/TUM-MZ/moodle-block_material-download
block_mhaairs,/blocks/mhaairs,No,,https://github.com/itamart/moodle-block_mhaairs,,2014122400,2018120309,e7f808e924b0b55a71130c5b882fb64e591b1540,,No,,https://github.com/itamart/moodle-block_mhaairs
block_microsoft,/blocks/microsoft,No,,https://github.com/Microsoft/o365-moodle,,2025100600,2024100705,da127bc48f31dfdb659d5fe0e670e51f386ae3f6,,No,,https://github.com/Microsoft/o365-moodle
block_migrate_users,/blocks/migrate_users,No,,,https://github.com/lsuonline/lsuce-block_migrate_users,2019021800,2021082500,e34dd7592b87ddb94659967757d199fc94e58a63,,No,,https://github.com/lsuonline/lsuce-block_migrate_users
block_my_picture,/blocks/my_picture,Yes,,DEFUNCT?,,,2018011000,,,No,,DEFUNCT?
block_mylabmastering,/blocks/mylabmastering,No,Yes,,,,2019012000,,,No,,
block_panopto,/blocks/panopto,No,,https://github.com/Panopto/Moodle-2.0-plugin-for-Panopto,,2026022500,2025112600,04224798ad661d39d9990fd499563087d4cbb268,2daa0315f17e1f98fb6399e9be017fef72f6af80,No,,https://github.com/Panopto/Moodle-2.0-plugin-for-Panopto
block_post_grades,/blocks/post_grades,No,Yes,,,,2022021000,,,No,,
block_pu,/blocks/pu,No,,,https://github.com/lsuonline/block_pu,2023080400,2023080400,738444fe8a473f27574495386ce4cb92adb5d9db,adc7042b68ba5efc1ccbd43701e26f113e35f744,Yes,,https://github.com/lsuonline/block_pu
block_quickmail,/blocks/quickmail,Yes,,https://github.com/lsuits/quickmail,https://github.com/lsuonline/lsuce-block_quickmail,2025102302,2025102302,f668120f43a38cb3fd6d3c22a4f211d6bc438223,,Yes,,https://github.com/lsuonline/lsuce-block_quickmail
block_quiz_results,/blocks/quiz_results,Yes,,https://github.com/moodlehq/moodle-block_quiz_results,,2021051700,2020061500,09792c32a6838fc424fd24e7e7e39af4a4534867,c24cf77d320f00ad91ca466c45a60261d426d509,No,,https://github.com/moodlehq/moodle-block_quiz_results
block_rollsheet,/blocks/rollsheet,No,Yes,,,,2016020200,,,No,,
block_simple_restore,/blocks/simple_restore,Yes,,DEFUNCT?,https://github.com/lsuits/lsu-block_simple_restore,2018111600,2018111600,2bfff0b1afdcf94a6add661ef71fe3c8aa7a2835,,Yes,,https://github.com/lsuits/lsu-block_simple_restore
block_student_gradeviewer,/blocks/student_gradeviewer,No,,https://github.com/lsuits/lsu-block_student_gradeviewer,,2016040800,2016040800,b73f1b891981ba6f67e92ff95b1478b3decba731,,Yes,,https://github.com/lsuits/lsu-block_student_gradeviewer
block_ues_logs,/blocks/ues_logs,No,,https://github.com/lsuits/lsu-block_ues_logs,,2014060500,2021042000,b1f093ecf8f69ae9e26323017d2510197c428e38,,No,,https://github.com/lsuits/lsu-block_ues_logs
block_ues_meta_viewer,/blocks/ues_meta_viewer,No,,https://github.com/lsuits/lsu-block_ues_meta_viewer,,2016040800,2016040800,ffeb00fb7391f995dd73e5b1f52489ac50db96fb,6ac928a6ff6ce35ca0018cd8290f4614d014f3a7,Yes,,https://github.com/lsuits/lsu-block_ues_meta_viewer
block_ues_reprocess,/blocks/ues_reprocess,No,,https://github.com/lsuits/lsu-block_ues_reprocess,,2014060500,2024052300,d85ec8dd33fa82394fb83ef94bbe547cd0961e67,,No,,https://github.com/lsuits/lsu-block_ues_reprocess
block_wds_postgrades,/blocks/wds_postgrades,No,,,https://github.com/lsuonline/moodle-block_wds_postgrades,2025051903,2025051903,cf8374499af948bf39cdf65d4321911dea875479,1cab149150c33ec1904202a2b018d8a7342a9f48,Yes,,https://github.com/lsuonline/moodle-block_wds_postgrades
